Bar@Tolka,53.3676758,-6.2512678
Fallon's,53.3389839,-6.2733761
The Wind Jammer,53.3452765,-6.2483476
The Old Orchard,53.2946757,-6.2993378
Leonard's Corner,53.3321576,-6.2753834
The Gingerman,53.3418488,-6.2495572
Thomas Read's,53.344215,-6.2671595
The Old Harbour,53.3424956,-6.2885758
Eagle House - Vaughan's,53.3100543,-6.2832454
Brady's,53.3098046,-6.2841368
Padraig Pearse,53.3433273,-6.2447582
The Czech Inn,53.3449133,-6.2679467
Sin e,53.345976,-6.2695992
O'Reilly's Sub Lounge,53.3470972,-6.254074
Bull & Castle,53.343428,-6.2698992
The Woolshed,53.3502723,-6.2671226
Gin Palace,53.3478458,-6.2634401
Tap House,53.3251267,-6.254258
Oarsman,53.3417065,-6.227773
John Clarke and Sons,53.3417218,-6.2276614
Raytown Bar,53.3417321,-6.2275498
Oliver Gleeson & Son,53.3386881,-6.2229321
The Merry Cobbler,53.3384435,-6.2226996
Ryans Sandymount House,53.3324339,-6.2153693
O'Reilly,53.3327685,-6.2152588
Horse Show House,53.3284885,-6.2289402
Paddy Cullen,53.3290306,-6.2303575
Mary Mac's,53.3290702,-6.2304573
Crowe's Pub,53.3291016,-6.2305416
The Terenure Inn,53.3113561,-6.2830549
Bridge Inn,53.3477481,-6.3457934
Mullingar House,53.3484058,-6.342364
Villager Inn,53.3496727,-6.3444019
The Black Lion,53.3396154,-6.320788
Croughs Pub,53.3395619,-6.3186912
Lowes Bar,53.333764,-6.2906371
The Bird Flanagan,53.3365462,-6.299192
Hogan's Bar,53.3419933,-6.2646102
Kynes (The Corner House),53.3036457,-6.2454947
Molloy's Foxes Covert,53.3216994,-6.2795312
McGarry's Bar,53.320137,-6.278921
The Rathgar (The 108),53.3120673,-6.2745148
Coman's,53.312007,-6.2748056
Breffni Inn,53.370633,-6.3237573
The Cabra House,53.3674068,-6.2985855
E. McGraths,53.3670618,-6.2933093
4 Dame Lane,53.3437834,-6.2629135
The Swan Bar (Lynch),53.3396163,-6.2657046
Opium,53.3367018,-6.2656562
Anseo,53.3353226,-6.264995
The Homestead,53.3625577,-6.2903186
Dice Bar,53.3471088,-6.2803579
Frank Ryan's,53.3470056,-6.2800493
J. Walsh & Co.,53.3503892,-6.281701
The Hogan Stand,53.358416,-6.255896
Turk's Head,53.3447932,-6.2676803
O'Shea's Merchant,53.3451273,-6.2757517
Brazen Head,53.3449779,-6.276351
Gill's Corner House,53.3584678,-6.2543617
Madigans,53.3514331,-6.2605934
Madigans,53.350038,-6.259441
Brogan's Bar,53.3442904,-6.2663911
The Celt,53.3505727,-6.2548867
The Old Storehouse,53.3451275,-6.2626961
Big Tree Tavern,53.3597953,-6.260942
Hill 16,53.3549532,-6.2572254
The Cobblestone,53.3498282,-6.2778577
Beerhouse,53.350934,-6.270098
Kielys,53.322212,-6.2365571
The Village Inn,53.3396359,-6.3212189
Coffey's,53.3405122,-6.3144898
McCloskeys,53.3243842,-6.24035
The Black Sheep,53.3497856,-6.2691542
The Red Parrott,53.3610529,-6.2596585
Bar@Skylon,53.3727558,-6.2530071
