53.3380755 -6.2528418, Doheny and Nesbitt
53.337863 -6.2527928, Xico
53.3377289 -6.2524501, James Toner
53.3387556 -6.2526088, Cellar Bar
53.33859820000001 -6.2511535, McGrattan's Café Bar
53.3383035 -6.255276, Residence
53.33612900000001 -6.2568614, East Side Tavern
53.3359552 -6.2565964, Hartigan's
53.334817 -6.2575719, Alfie Byrnes
53.3341764 -6.254773, Leggs pub
53.334011399999994 -6.2551589000000005, House Dublin
53.333347499999995 -6.262368, Odeon
53.3317088 -6.264503599999999, The Bernard Shaw
53.33066070000001 -6.264118900000001, J. O'Connell
53.3304476 -6.264081299999999, Rain
53.33035129999999 -6.2641555, The Portobello Bar
53.33069449999999 -6.2653793, The Lower Deck
53.3305512 -6.2605878, The Barge Bar
53.3309476 -6.2592870000000005, Charlemont Bar & Bistro
53.3300206 -6.2752027, The Harold House
53.3304221 -6.275613, MVP
53.3323927 -6.275461900000001, The Headline Bar
53.3321576 -6.2753834, Leonard's Corner
53.3362336 -6.2734533, Peadar Browns
53.3363297 -6.272868900000001, Kavanagh's (B)
53.3389839 -6.2733761, Fallon's
53.34013 -6.280709, The Pimlico Tavern
53.3430716 -6.2816906999999995, Arthur's
53.343270700000005 -6.281063, Agnes Browne's
53.343539 -6.289078, McCanns
53.34349720000001 -6.2905632, The Tram
53.342939199999996 -6.291005999999999, The Malt House
53.3424332 -6.2944638, Kennys Lounge
53.342444900000004 -6.2968145, Murray's Bar
53.3415919 -6.303331, The Royal Oak
53.34169300000001 -6.3075621, The Patriot Inn
53.33654620000001 -6.299192, The Bird Flanagan
53.3360993 -6.2978477999999996, McCauley's
53.333764 -6.2906371, Lowes Bar
53.33222489999999 -6.2927681, The Barn House
53.331802 -6.294492, The Bridge House
53.3369065 -6.2874547, Morrissey's
53.3404859 -6.2868779, Brewery Inn
53.3424956 -6.2885758, The Old Harbour
53.342051500000004 -6.2865388, Gravity Bar
53.346746200000005 -6.2924467, Galway Hooker (Carvery Bar)
53.348198100000005 -6.293471, Ryan's
53.34821410000001 -6.2939620000000005, Nancy Hand's
53.3480637 -6.289738400000001, Judge Darley's
53.3480466 -6.2900462, The Millenium
53.3533594 -6.2858818, Kavanagh's (A)
53.3542365 -6.286689900000001, Hynes
53.356008100000004 -6.288090400000001, Clarke's City Arms
53.357446200000005 -6.2887621, Hanlon's
53.352155599999996 -6.279828, Barbers
53.35434300000001 -6.272084400000001, Cumiskey's (B)
53.356564 -6.273879, McGowan's
53.35853470000001 -6.273159, The Back Page
53.3588257 -6.2734242, Phibsborough House (Clarke's)
53.36091700000001 -6.2729243, The Bohemian (McGeoughs)
53.3609221 -6.2725085, John Doyle
53.36098270000001 -6.272493900000001, The Hut (Mohans)
53.3560761 -6.267943799999999, The Berkeley
